"date","time","value"
08/01/22,12:00:00 AM,1
08/02/22,12:01:00 AM,2
08/03/22,12:02:00 AM,3
08/04/22,12:03:00 AM,4
08/05/22,12:04:00 AM,5
08/06/22,12:05:00 AM,6
08/07/22,12:06:00 AM,7
08/08/22,12:07:00 AM,8
08/09/22,12:08:00 AM,9
08/10/22,12:09:00 AM,10
08/11/22,12:10:00 AM,11
08/12/22,12:11:00 AM,12
08/13/22,12:12:00 AM,13
08/14/22,12:13:00 AM,14
08/15/22,12:14:00 AM,15
08/16/22,12:15:00 AM,16
08/17/22,12:16:00 AM,17
08/18/22,12:17:00 AM,18
08/19/22,12:18:00 AM,19
08/20/22,12:19:00 AM,20
08/21/22,12:20:00 AM,21
08/22/22,12:21:00 AM,22
08/23/22,12:22:00 AM,23
08/24/22,12:23:00 AM,24
08/25/22,12:24:00 AM,25
08/26/22,12:25:00 AM,26
08/27/22,12:26:00 AM,27
08/28/22,12:27:00 AM,28
08/29/22,12:28:00 AM,29
08/30/22,12:29:00 AM,30
08/31/22,12:30:00 AM,31
09/01/22,12:31:00 AM,32
09/02/22,12:32:00 AM,33
09/03/22,12:33:00 AM,34
09/04/22,12:34:00 AM,35
09/05/22,12:35:00 AM,36
09/06/22,12:36:00 AM,37
09/07/22,12:37:00 AM,38
09/08/22,12:38:00 AM,39
09/09/22,12:39:00 AM,40
09/10/22,12:40:00 AM,41
09/11/22,12:41:00 AM,42
09/12/22,12:42:00 AM,43
09/13/22,12:43:00 AM,44
09/14/22,12:44:00 AM,45
09/15/22,12:45:00 AM,46
09/16/22,12:46:00 AM,47
09/17/22,12:47:00 AM,48
09/18/22,12:48:00 AM,49
